Region,Date,Cases
KALIMANTAN BARAT,May-23,228
KALIMANTAN SELATA,May-23,234
KALIMANTAN TENGAH,May-23,212
KALIMANTAN TIMUR,May-23,513
KALIMANTAN UTARA,May-23,119
KEPULAUAN RIAU,May-23,55
LAMPUNG,May-23,187
MALUKU,May-23,31
MALUKU UTARA,May-23,62
NUSA TENGGARA BARAT,May-23,235
NUSA TENGGARA TIMUR,May-23,227
PAPUA,May-23,23
PAPUA BARAT,May-23,78
PAPUA BARAT DAYA,May-23,0
PAPUA PEGUNUNGAN,May-23,0
PAPUA SELATAN,May-23,0
PAPUA TENGAH,May-23,122
RIAU,May-23,142
SULAWESI BARAT,May-23,70
SULAWESI SELATA,May-23,236
SULAWESI TENGAH,May-23,197
SULAWESI TENGGARA,May-23,158
SULAWESI UTARA,May-23,281
SUMATERA BARAT,May-23,144
SUMATERA SELATA,May-23,257
SUMATERA UTARA,May-23,335
ACEH,Apr-23,123
BABEL,Apr-23,51
BALI,Apr-23,870
BANTEN,Apr-23,243
BENGKULU,Apr-23,28
D.I YOGYA,Apr-23,42
DKI JAKARTA,Apr-23,499
GORONTALO,Apr-23,50
JAMBI,Apr-23,166
JAWA BARAT,Apr-23,"1,273"
JAWA TENGAH,Apr-23,671
JAWA TIMUR,Apr-23,747
KALIMANTAN BARAT,Apr-23,112
KALIMANTAN SELATA,Apr-23,172
KALIMANTAN TENGAH,Apr-23,141
KALIMANTAN TIMUR,Apr-23,437
KALIMANTAN UTARA,Apr-23,75
KEPULAUAN RIAU,Apr-23,43
LAMPUNG,Apr-23,151
MALUKU,Apr-23,13
MALUKU UTARA,Apr-23,42
NUSA TENGGARA BARAT,Apr-23,300
NUSA TENGGARA TIMUR,Apr-23,190
PAPUA,Apr-23,10
PAPUA BARAT,Apr-23,42
PAPUA BARAT DAYA,Apr-23,0
PAPUA PEGUNUNGAN,Apr-23,0
PAPUA SELATAN,Apr-23,0
PAPUA TENGAH,Apr-23,67
RIAU,Apr-23,109
SULAWESI BARAT,Apr-23,67
SULAWESI SELATA,Apr-23,236
SULAWESI TENGAH,Apr-23,177
SULAWESI TENGGARA,Apr-23,138
SULAWESI UTARA,Apr-23,195
SUMATERA BARAT,Apr-23,134
SUMATERA SELATA,Apr-23,167
SUMATERA UTARA,Apr-23,261
ACEH,Mar-23,186
BABEL,Mar-23,59
BALI,Mar-23,"1,005"
BANTEN,Mar-23,309
BENGKULU,Mar-23,33
D.I YOGYA,Mar-23,52
DKI JAKARTA,Mar-23,494
GORONTALO,Mar-23,53
JAMBI,Mar-23,130
JAWA BARAT,Mar-23,"1,613"
JAWA TENGAH,Mar-23,717
JAWA TIMUR,Mar-23,"1,127"
KALIMANTAN BARAT,Mar-23,81
KALIMANTAN SELATA,Mar-23,226
KALIMANTAN TENGAH,Mar-23,128
KALIMANTAN TIMUR,Mar-23,556
KALIMANTAN UTARA,Mar-23,106
KEPULAUAN RIAU,Mar-23,69
LAMPUNG,Mar-23,253
MALUKU,Mar-23,12
MALUKU UTARA,Mar-23,68
NUSA TENGGARA BARAT,Mar-23,478
NUSA TENGGARA TIMUR,Mar-23,430
PAPUA,Mar-23,21
PAPUA BARAT,Mar-23,81
PAPUA BARAT DAYA,Mar-23,0
PAPUA PEGUNUNGAN,Mar-23,0
PAPUA SELATAN,Mar-23,0
PAPUA TENGAH,Mar-23,91
RIAU,Mar-23,136
SULAWESI BARAT,Mar-23,65
SULAWESI SELATA,Mar-23,256
SULAWESI TENGAH,Mar-23,193
SULAWESI TENGGARA,Mar-23,192
SULAWESI UTARA,Mar-23,228
SUMATERA BARAT,Mar-23,183
SUMATERA SELATA,Mar-23,253
SUMATERA UTARA,Mar-23,336
ACEH,Feb-23,254
BABEL,Feb-23,80
BALI,Feb-23,963
BANTEN,Feb-23,313
BENGKULU,Feb-23,56
D.I YOGYA,Feb-23,81
DKI JAKARTA,Feb-23,434
GORONTALO,Feb-23,73
JAMBI,Feb-23,141
JAWA BARAT,Feb-23,"1,652"
JAWA TENGAH,Feb-23,804
JAWA TIMUR,Feb-23,"1,119"
KALIMANTAN BARAT,Feb-23,95
KALIMANTAN SELATA,Feb-23,214
KALIMANTAN TENGAH,Feb-23,113
KALIMANTAN TIMUR,Feb-23,412
KALIMANTAN UTARA,Feb-23,106
KEPULAUAN RIAU,Feb-23,82
LAMPUNG,Feb-23,249
MALUKU,Feb-23,13
MALUKU UTARA,Feb-23,100
NUSA TENGGARA BARAT,Feb-23,768
NUSA TENGGARA TIMUR,Feb-23,548
PAPUA,Feb-23,19
PAPUA BARAT,Feb-23,43
PAPUA BARAT DAYA,Feb-23,0
PAPUA PEGUNUNGAN,Feb-23,0
PAPUA SELATAN,Feb-23,0
PAPUA TENGAH,Feb-23,163
RIAU,Feb-23,172
SULAWESI BARAT,Feb-23,67
SULAWESI SELATA,Feb-23,260
SULAWESI TENGAH,Feb-23,169
SULAWESI TENGGARA,Feb-23,142
SULAWESI UTARA,Feb-23,222
SUMATERA BARAT,Feb-23,196
SUMATERA SELATA,Feb-23,302
SUMATERA UTARA,Feb-23,437
ACEH,Jan-23,326
BABEL,Jan-23,89
BALI,Jan-23,965
BANTEN,Jan-23,378
BENGKULU,Jan-23,39
D.I YOGYA,Jan-23,154
DKI JAKARTA,Jan-23,525
GORONTALO,Jan-23,38
JAMBI,Jan-23,122
JAWA BARAT,Jan-23,"1,963"
JAWA TENGAH,Jan-23,"1,159"
JAWA TIMUR,Jan-23,"1,637"
KALIMANTAN BARAT,Jan-23,103
KALIMANTAN SELATA,Jan-23,304
KALIMANTAN TENGAH,Jan-23,112
KALIMANTAN TIMUR,Jan-23,514
KALIMANTAN UTARA,Jan-23,87
KEPULAUAN RIAU,Jan-23,103
LAMPUNG,Jan-23,264
MALUKU,Jan-23,20
MALUKU UTARA,Jan-23,66
NUSA TENGGARA BARAT,Jan-23,905
NUSA TENGGARA TIMUR,Jan-23,530
PAPUA,Jan-23,24
PAPUA BARAT,Jan-23,22
PAPUA BARAT DAYA,Jan-23,0
PAPUA PEGUNUNGAN,Jan-23,0
PAPUA SELATAN,Jan-23,0
PAPUA TENGAH,Jan-23,34
RIAU,Jan-23,209
SULAWESI BARAT,Jan-23,50
SULAWESI SELATA,Jan-23,251
SULAWESI TENGAH,Jan-23,158
SULAWESI TENGGARA,Jan-23,123
SULAWESI UTARA,Jan-23,252
SUMATERA BARAT,Jan-23,258
SUMATERA SELATA,Jan-23,311
SUMATERA UTARA,Jan-23,516
ACEH,Dec-22,224
BABEL,Dec-22,93
BALI,Dec-22,720
BANTEN,Dec-22,310
BENGKULU,Dec-22,39
D.I YOGYA,Dec-22,133
DKI JAKARTA,Dec-22,417
GORONTALO,Dec-22,21
JAMBI,Dec-22,86
JAWA BARAT,Dec-22,"1,691"
JAWA TENGAH,Dec-22,949
JAWA TIMUR,Dec-22,910
KALIMANTAN BARAT,Dec-22,70
KALIMANTAN SELATA,Dec-22,165
KALIMANTAN TENGAH,Dec-22,61
KALIMANTAN TIMUR,Dec-22,370
KALIMANTAN UTARA,Dec-22,99
KEPULAUAN RIAU,Dec-22,105
LAMPUNG,Dec-22,257
MALUKU,Dec-22,2
MALUKU UTARA,Dec-22,51
NUSA TENGGARA BARAT,Dec-22,453
NUSA TENGGARA TIMUR,Dec-22,85
PAPUA,Dec-22,25
PAPUA BARAT,Dec-22,8
RIAU,Dec-22,148
SULAWESI BARAT,Dec-22,46
SULAWESI SELATA,Dec-22,236
SULAWESI TENGAH,Dec-22,55
SULAWESI TENGGARA,Dec-22,69
SULAWESI UTARA,Dec-22,143
SUMATERA BARAT,Dec-22,217
SUMATERA SELATA,Dec-22,163
SUMATERA UTARA,Dec-22,514
ACEH,Nov-22,336
BABEL,Nov-22,115
BALI,Nov-22,437
BANTEN,Nov-22,447
BENGKULU,Nov-22,62
D.I YOGYA,Nov-22,97
DKI JAKARTA,Nov-22,428
