Region,Date,Cases
NUSA TENGGARA BARAT,Mar-10,425
NUSA TENGGARA TIMUR,Mar-10,204
PAPUA,Mar-10,35
PAPUA BARAT,Mar-10,30
RIAU,Mar-10,95
SULAWESI BARAT,Mar-10,22
SULAWESI SELATA,Mar-10,677
SULAWESI TENGAH,Mar-10,235
SULAWESI TENGGARA,Mar-10,204
SULAWESI UTARA,Mar-10,341
SUMATERA BARAT,Mar-10,201
SUMATERA SELATA,Mar-10,147
SUMATERA UTARA,Mar-10,554
,,
ACEH,Feb-10,201
BABEL,Feb-10,33
BALI,Feb-10,"1,048"
BANTEN,Feb-10,451
BENGKULU,Feb-10,88
D.I YOGYA,Feb-10,626
DKI JAKARTA,Feb-10,"1,815"
GORONTALO,Feb-10,105
JAMBI,Feb-10,23
JAWA BARAT,Feb-10,"3,221"
JAWA TENGAH,Feb-10,"2,777"
JAWA TIMUR,Feb-10,"5,253"
KALIMANTAN BARAT,Feb-10,98
KALIMANTAN SELATA,Feb-10,328
KALIMANTAN TENGAH,Feb-10,321
KALIMANTAN TIMUR,Feb-10,"1,079"
KEPULAUAN RIAU,Feb-10,119
LAMPUNG,Feb-10,324
MALUKU,Feb-10,6
MALUKU UTARA,Feb-10,89
NUSA TENGGARA BARAT,Feb-10,399
NUSA TENGGARA TIMUR,Feb-10,612
PAPUA,Feb-10,91
PAPUA BARAT,Feb-10,168
RIAU,Feb-10,138
SULAWESI BARAT,Feb-10,37
SULAWESI SELATA,Feb-10,708
SULAWESI TENGAH,Feb-10,379
SULAWESI TENGGARA,Feb-10,442
SULAWESI UTARA,Feb-10,601
SUMATERA BARAT,Feb-10,272
SUMATERA SELATA,Feb-10,165
SUMATERA UTARA,Feb-10,473
,,
ACEH,Jan-10,208
BABEL,Jan-10,117
BALI,Jan-10,682
BANTEN,Jan-10,428
BENGKULU,Jan-10,59
D.I YOGYA,Jan-10,659
DKI JAKARTA,Jan-10,"1,486"
GORONTALO,Jan-10,113
JAMBI,Jan-10,26
JAWA BARAT,Jan-10,"3,183"
JAWA TENGAH,Jan-10,"2,656"
JAWA TIMUR,Jan-10,"5,601"
KALIMANTAN BARAT,Jan-10,213
KALIMANTAN SELATA,Jan-10,529
KALIMANTAN TENGAH,Jan-10,776
KALIMANTAN TIMUR,Jan-10,"1,252"
KEPULAUAN RIAU,Jan-10,149
LAMPUNG,Jan-10,321
MALUKU,Jan-10,0
MALUKU UTARA,Jan-10,59
NUSA TENGGARA BARAT,Jan-10,460
NUSA TENGGARA TIMUR,Jan-10,365
PAPUA,Jan-10,48
PAPUA BARAT,Jan-10,100
RIAU,Jan-10,198
SULAWESI BARAT,Jan-10,23
SULAWESI SELATA,Jan-10,942
SULAWESI TENGAH,Jan-10,227
SULAWESI TENGGARA,Jan-10,305
SULAWESI UTARA,Jan-10,470
SUMATERA BARAT,Jan-10,366
SUMATERA SELATA,Jan-10,180
SUMATERA UTARA,Jan-10,595
,,
ACEH,Dec-09,5
BABEL,Dec-09,109
BALI,Dec-09,321
BANTEN,Dec-09,298
BENGKULU,Dec-09,3
D.I YOGYA,Dec-09,177
DKI JAKARTA,Dec-09,807
GORONTALO,Dec-09,18
JAMBI,Dec-09,21
JAWA BARAT,Dec-09,"1,635"
JAWA TENGAH,Dec-09,"1,150"
JAWA TIMUR,Dec-09,"2,134"
KALIMANTAN BARAT,Dec-09,427
KALIMANTAN SELATA,Dec-09,391
KALIMANTAN TENGAH,Dec-09,456
KALIMANTAN TIMUR,Dec-09,801
KEPULAUAN RIAU,Dec-09,221
LAMPUNG,Dec-09,123
MALUKU,Dec-09,0
MALUKU UTARA,Dec-09,1
NUSA TENGGARA BARAT,Dec-09,71
NUSA TENGGARA TIMUR,Dec-09,47
PAPUA,Dec-09,0
PAPUA BARAT,Dec-09,19
RIAU,Dec-09,219
SULAWESI BARAT,Dec-09,17
SULAWESI SELATA,Dec-09,220
SULAWESI TENGAH,Dec-09,88
SULAWESI TENGGARA,Dec-09,87
SULAWESI UTARA,Dec-09,214
SUMATERA BARAT,Dec-09,298
SUMATERA SELATA,Dec-09,183
SUMATERA UTARA,Dec-09,385
,,
ACEH,Nov-09,79
BABEL,Nov-09,53
BALI,Nov-09,277
BANTEN,Nov-09,239
BENGKULU,Nov-09,5
D.I YOGYA,Nov-09,139
DKI JAKARTA,Nov-09,540
GORONTALO,Nov-09,7
JAMBI,Nov-09,19
JAWA BARAT,Nov-09,"1,494"
JAWA TENGAH,Nov-09,820
JAWA TIMUR,Nov-09,"1,146"
KALIMANTAN BARAT,Nov-09,"1,836"
KALIMANTAN SELATA,Nov-09,218
KALIMANTAN TENGAH,Nov-09,185
KALIMANTAN TIMUR,Nov-09,737
KEPULAUAN RIAU,Nov-09,224
LAMPUNG,Nov-09,68
MALUKU,Nov-09,0
MALUKU UTARA,Nov-09,10
NUSA TENGGARA BARAT,Nov-09,40
NUSA TENGGARA TIMUR,Nov-09,52
PAPUA,Nov-09,0
PAPUA BARAT,Nov-09,19
RIAU,Nov-09,224
SULAWESI BARAT,Nov-09,0
SULAWESI SELATA,Nov-09,150
SULAWESI TENGAH,Nov-09,84
SULAWESI TENGGARA,Nov-09,117
SULAWESI UTARA,Nov-09,122
SUMATERA BARAT,Nov-09,317
SUMATERA SELATA,Nov-09,153
SUMATERA UTARA,Nov-09,476
,,
ACEH,Oct-09,91
BABEL,Oct-09,17
BALI,Oct-09,187
BANTEN,Oct-09,274
BENGKULU,Oct-09,3
D.I YOGYA,Oct-09,141
DKI JAKARTA,Oct-09,566
GORONTALO,Oct-09,3
JAMBI,Oct-09,9
JAWA BARAT,Oct-09,"1,205"
JAWA TENGAH,Oct-09,676
JAWA TIMUR,Oct-09,823
KALIMANTAN BARAT,Oct-09,"2,103"
KALIMANTAN SELATA,Oct-09,40
KALIMANTAN TENGAH,Oct-09,133
KALIMANTAN TIMUR,Oct-09,518
