Region,Date,Cases
SULAWESI SELATA,Mar-15,496
SULAWESI TENGAH,Mar-15,171
SULAWESI TENGGARA,Mar-15,215
SULAWESI UTARA,Mar-15,122
SUMATERA BARAT,Mar-15,250
SUMATERA SELATA,Mar-15,370
SUMATERA UTARA,Mar-15,302
,,
ACEH,Feb-15,142
BABEL,Feb-15,103
BALI,Feb-15,"1,619"
BANTEN,Feb-15,349
BENGKULU,Feb-15,94
D.I YOGYA,Feb-15,550
DKI JAKARTA,Feb-15,528
GORONTALO,Feb-15,67
JAMBI,Feb-15,167
JAWA BARAT,Feb-15,"2,603"
JAWA TENGAH,Feb-15,"2,655"
JAWA TIMUR,Feb-15,"4,379"
KALIMANTAN BARAT,Feb-15,244
KALIMANTAN SELATA,Feb-15,952
KALIMANTAN TENGAH,Feb-15,304
KALIMANTAN TIMUR,Feb-15,966
KALIMANTAN UTARA,Feb-15,74
KEPULAUAN RIAU,Feb-15,113
LAMPUNG,Feb-15,718
MALUKU,Feb-15,9
MALUKU UTARA,Feb-15,18
NUSA TENGGARA BARAT,Feb-15,259
NUSA TENGGARA TIMUR,Feb-15,206
PAPUA,Feb-15,97
PAPUA BARAT,Feb-15,7
RIAU,Feb-15,353
SULAWESI BARAT,Feb-15,101
SULAWESI SELATA,Feb-15,520
SULAWESI TENGAH,Feb-15,211
SULAWESI TENGGARA,Feb-15,210
SULAWESI UTARA,Feb-15,145
SUMATERA BARAT,Feb-15,314
SUMATERA SELATA,Feb-15,570
SUMATERA UTARA,Feb-15,517
,,
ACEH,Jan-15,180
BABEL,Jan-15,163
BALI,Jan-15,"1,001"
BANTEN,Jan-15,343
BENGKULU,Jan-15,113
D.I YOGYA,Jan-15,534
DKI JAKARTA,Jan-15,443
GORONTALO,Jan-15,28
JAMBI,Jan-15,313
JAWA BARAT,Jan-15,"3,134"
JAWA TENGAH,Jan-15,"2,807"
JAWA TIMUR,Jan-15,"4,584"
KALIMANTAN BARAT,Jan-15,346
KALIMANTAN SELATA,Jan-15,"1,180"
KALIMANTAN TENGAH,Jan-15,364
KALIMANTAN TIMUR,Jan-15,"1,155"
KALIMANTAN UTARA,Jan-15,80
KEPULAUAN RIAU,Jan-15,198
LAMPUNG,Jan-15,590
MALUKU,Jan-15,4
MALUKU UTARA,Jan-15,8
NUSA TENGGARA BARAT,Jan-15,223
NUSA TENGGARA TIMUR,Jan-15,72
PAPUA,Jan-15,64
PAPUA BARAT,Jan-15,4
RIAU,Jan-15,380
SULAWESI BARAT,Jan-15,67
SULAWESI SELATA,Jan-15,453
SULAWESI TENGAH,Jan-15,179
SULAWESI TENGGARA,Jan-15,188
SULAWESI UTARA,Jan-15,463
SUMATERA BARAT,Jan-15,295
SUMATERA SELATA,Jan-15,754
SUMATERA UTARA,Jan-15,557
,,
ACEH,Dec-14,248
BABEL,Dec-14,63
BALI,Dec-14,346
BANTEN,Dec-14,66
BENGKULU,Dec-14,97
D.I YOGYA,Dec-14,112
DKI JAKARTA,Dec-14,88
GORONTALO,Dec-14,0
JAMBI,Dec-14,153
JAWA BARAT,Dec-14,795
JAWA TENGAH,Dec-14,"1,039"
JAWA TIMUR,Dec-14,923
KALIMANTAN BARAT,Dec-14,776
KALIMANTAN SELATA,Dec-14,326
KALIMANTAN TENGAH,Dec-14,190
KALIMANTAN TIMUR,Dec-14,615
KALIMANTAN UTARA,Dec-14,69
KEPULAUAN RIAU,Dec-14,201
LAMPUNG,Dec-14,161
MALUKU,Dec-14,1
MALUKU UTARA,Dec-14,1
NUSA TENGGARA BARAT,Dec-14,55
NUSA TENGGARA TIMUR,Dec-14,12
PAPUA,Dec-14,9
PAPUA BARAT,Dec-14,0
RIAU,Dec-14,319
SULAWESI BARAT,Dec-14,25
SULAWESI SELATA,Dec-14,98
SULAWESI TENGAH,Dec-14,109
SULAWESI TENGGARA,Dec-14,25
SULAWESI UTARA,Dec-14,180
SUMATERA BARAT,Dec-14,219
SUMATERA SELATA,Dec-14,217
SUMATERA UTARA,Dec-14,318
,,
ACEH,Nov-14,385
BABEL,Nov-14,48
BALI,Nov-14,318
BANTEN,Nov-14,94
BENGKULU,Nov-14,83
D.I YOGYA,Nov-14,146
DKI JAKARTA,Nov-14,123
GORONTALO,Nov-14,3
JAMBI,Nov-14,222
JAWA BARAT,Nov-14,894
JAWA TENGAH,Nov-14,840
JAWA TIMUR,Nov-14,735
