Region,Date,Cases
GORONTALO,Apr-2019,56
JAMBI,Apr-2019,124
JAWA BARAT,Apr-2019,"3,158"
JAWA TENGAH,Apr-2019,"1,429"
JAWA TIMUR,Apr-2019,"1,613"
KALIMANTAN BARAT,Apr-2019,159
KALIMANTAN SELATA,Apr-2019,85
KALIMANTAN TENGAH,Apr-2019,98
KALIMANTAN TIMUR,Apr-2019,517
KALIMANTAN UTARA,Apr-2019,218
KEPULAUAN RIAU,Apr-2019,103
LAMPUNG,Apr-2019,457
MALUKU,Apr-2019,19
MALUKU UTARA,Apr-2019,88
NUSA TENGGARA BARAT,Apr-2019,464
NUSA TENGGARA TIMUR,Apr-2019,342
PAPUA,Apr-2019,89
PAPUA BARAT,Apr-2019,29
RIAU,Apr-2019,181
SULAWESI BARAT,Apr-2019,40
SULAWESI SELATA,Apr-2019,270
SULAWESI TENGAH,Apr-2019,134
SULAWESI TENGGARA,Apr-2019,115
SULAWESI UTARA,Apr-2019,76
SUMATERA BARAT,Apr-2019,205
SUMATERA SELATA,Apr-2019,197
SUMATERA UTARA,Apr-2019,421
,,
ACEH,Mar-2019,199
BABEL,Mar-2019,107
BALI,Mar-2019,639
BANTEN,Mar-2019,367
BENGKULU,Mar-2019,149
D.I YOGYA,Mar-2019,389
DKI JAKARTA,Mar-2019,"1,983"
GORONTALO,Mar-2019,135
JAMBI,Mar-2019,225
JAWA BARAT,Mar-2019,"3,158"
JAWA TENGAH,Mar-2019,"1,326"
JAWA TIMUR,Mar-2019,"2,894"
KALIMANTAN BARAT,Mar-2019,262
KALIMANTAN SELATA,Mar-2019,228
KALIMANTAN TENGAH,Mar-2019,182
KALIMANTAN TIMUR,Mar-2019,718
KALIMANTAN UTARA,Mar-2019,157
KEPULAUAN RIAU,Mar-2019,132
LAMPUNG,Mar-2019,916
MALUKU,Mar-2019,71
MALUKU UTARA,Mar-2019,101
NUSA TENGGARA BARAT,Mar-2019,461
NUSA TENGGARA TIMUR,Mar-2019,719
PAPUA,Mar-2019,102
PAPUA BARAT,Mar-2019,20
RIAU,Mar-2019,198
SULAWESI BARAT,Mar-2019,54
SULAWESI SELATA,Mar-2019,439
SULAWESI TENGAH,Mar-2019,176
SULAWESI TENGGARA,Mar-2019,213
SULAWESI UTARA,Mar-2019,170
